bs_id,node_id,time_slot,used_cpu,cpu_capacity,cpu_utilization,used_subchannels,subchannel_capacity,subchannel_utilization
bs_1,node_1,0,0,5,0.0,0,8,0.0
bs_1,node_1,1,0,5,0.0,0,8,0.0
bs_1,node_1,2,0,5,0.0,0,8,0.0
bs_1,node_1,3,0,5,0.0,0,8,0.0
bs_1,node_1,4,0,5,0.0,0,8,0.0
bs_1,node_1,5,0,5,0.0,0,8,0.0
bs_1,node_1,6,0,5,0.0,0,8,0.0
bs_1,node_1,7,0,5,0.0,0,8,0.0
bs_1,node_1,8,0,5,0.0,0,8,0.0
bs_1,node_1,9,0,5,0.0,0,8,0.0
bs_1,node_1,10,0,5,0.0,0,8,0.0
bs_1,node_1,11,0,5,0.0,0,8,0.0
bs_1,node_1,12,0,5,0.0,0,8,0.0
bs_1,node_1,13,0,5,0.0,0,8,0.0
bs_1,node_1,14,0,5,0.0,0,8,0.0
bs_1,node_1,15,0,5,0.0,0,8,0.0
bs_1,node_1,16,0,5,0.0,0,8,0.0
bs_1,node_1,17,0,5,0.0,0,8,0.0
bs_1,node_1,18,0,5,0.0,0,8,0.0
bs_1,node_1,19,0,5,0.0,0,8,0.0
bs_2,node_2,0,0,7,0.0,0,5,0.0
bs_2,node_2,1,0,7,0.0,0,5,0.0
bs_2,node_2,2,0,7,0.0,0,5,0.0
bs_2,node_2,3,0,7,0.0,0,5,0.0
bs_2,node_2,4,0,7,0.0,0,5,0.0
bs_2,node_2,5,0,7,0.0,0,5,0.0
bs_2,node_2,6,0,7,0.0,0,5,0.0
bs_2,node_2,7,0,7,0.0,0,5,0.0
bs_2,node_2,8,0,7,0.0,0,5,0.0
bs_2,node_2,9,0,7,0.0,0,5,0.0
bs_2,node_2,10,0,7,0.0,0,5,0.0
bs_2,node_2,11,3,7,0.428571,2,5,0.4
bs_2,node_2,12,3,7,0.428571,2,5,0.4
bs_2,node_2,13,0,7,0.0,0,5,0.0
bs_2,node_2,14,0,7,0.0,0,5,0.0
bs_2,node_2,15,0,7,0.0,0,5,0.0
bs_2,node_2,16,0,7,0.0,0,5,0.0
bs_2,node_2,17,0,7,0.0,0,5,0.0
bs_2,node_2,18,0,7,0.0,0,5,0.0
bs_2,node_2,19,0,7,0.0,0,5,0.0
bs_3,node_3,0,0,8,0.0,0,5,0.0
bs_3,node_3,1,0,8,0.0,0,5,0.0
bs_3,node_3,2,0,8,0.0,0,5,0.0
bs_3,node_3,3,0,8,0.0,0,5,0.0
bs_3,node_3,4,0,8,0.0,0,5,0.0
bs_3,node_3,5,0,8,0.0,0,5,0.0
bs_3,node_3,6,0,8,0.0,0,5,0.0
bs_3,node_3,7,0,8,0.0,0,5,0.0
bs_3,node_3,8,0,8,0.0,0,5,0.0
bs_3,node_3,9,0,8,0.0,0,5,0.0
bs_3,node_3,10,0,8,0.0,0,5,0.0
bs_3,node_3,11,0,8,0.0,0,5,0.0
bs_3,node_3,12,0,8,0.0,0,5,0.0
bs_3,node_3,13,0,8,0.0,0,5,0.0
bs_3,node_3,14,0,8,0.0,0,5,0.0
bs_3,node_3,15,0,8,0.0,0,5,0.0
bs_3,node_3,16,0,8,0.0,0,5,0.0
bs_3,node_3,17,0,8,0.0,0,5,0.0
bs_3,node_3,18,0,8,0.0,0,5,0.0
bs_3,node_3,19,0,8,0.0,0,5,0.0
bs_4,node_4,0,0,5,0.0,0,5,0.0
bs_4,node_4,1,0,5,0.0,0,5,0.0
bs_4,node_4,2,0,5,0.0,0,5,0.0
bs_4,node_4,3,0,5,0.0,0,5,0.0
bs_4,node_4,4,0,5,0.0,0,5,0.0
bs_4,node_4,5,0,5,0.0,0,5,0.0
bs_4,node_4,6,0,5,0.0,0,5,0.0
bs_4,node_4,7,0,5,0.0,0,5,0.0
bs_4,node_4,8,0,5,0.0,0,5,0.0
bs_4,node_4,9,0,5,0.0,0,5,0.0
bs_4,node_4,10,0,5,0.0,0,5,0.0
bs_4,node_4,11,0,5,0.0,0,5,0.0
bs_4,node_4,12,0,5,0.0,0,5,0.0
bs_4,node_4,13,0,5,0.0,0,5,0.0
bs_4,node_4,14,0,5,0.0,0,5,0.0
bs_4,node_4,15,0,5,0.0,0,5,0.0
bs_4,node_4,16,0,5,0.0,0,5,0.0
bs_4,node_4,17,0,5,0.0,0,5,0.0
bs_4,node_4,18,0,5,0.0,0,5,0.0
bs_4,node_4,19,0,5,0.0,0,5,0.0
bs_5,node_5,0,0,8,0.0,0,8,0.0
bs_5,node_5,1,0,8,0.0,0,8,0.0
bs_5,node_5,2,0,8,0.0,0,8,0.0
bs_5,node_5,3,0,8,0.0,0,8,0.0
bs_5,node_5,4,0,8,0.0,0,8,0.0
bs_5,node_5,5,0,8,0.0,0,8,0.0
bs_5,node_5,6,0,8,0.0,0,8,0.0
bs_5,node_5,7,0,8,0.0,0,8,0.0
bs_5,node_5,8,0,8,0.0,0,8,0.0
bs_5,node_5,9,0,8,0.0,0,8,0.0
bs_5,node_5,10,0,8,0.0,0,8,0.0
bs_5,node_5,11,0,8,0.0,0,8,0.0
bs_5,node_5,12,0,8,0.0,0,8,0.0
bs_5,node_5,13,0,8,0.0,0,8,0.0
bs_5,node_5,14,0,8,0.0,0,8,0.0
bs_5,node_5,15,0,8,0.0,0,8,0.0
bs_5,node_5,16,0,8,0.0,0,8,0.0
bs_5,node_5,17,0,8,0.0,0,8,0.0
bs_5,node_5,18,0,8,0.0,0,8,0.0
bs_5,node_5,19,0,8,0.0,0,8,0.0
bs_6,node_6,0,0,8,0.0,0,5,0.0
bs_6,node_6,1,0,8,0.0,0,5,0.0
bs_6,node_6,2,0,8,0.0,0,5,0.0
bs_6,node_6,3,0,8,0.0,0,5,0.0
bs_6,node_6,4,0,8,0.0,0,5,0.0
bs_6,node_6,5,0,8,0.0,0,5,0.0
bs_6,node_6,6,0,8,0.0,0,5,0.0
bs_6,node_6,7,0,8,0.0,0,5,0.0
bs_6,node_6,8,0,8,0.0,0,5,0.0
bs_6,node_6,9,0,8,0.0,0,5,0.0
bs_6,node_6,10,0,8,0.0,0,5,0.0
bs_6,node_6,11,0,8,0.0,0,5,0.0
bs_6,node_6,12,0,8,0.0,0,5,0.0
bs_6,node_6,13,0,8,0.0,0,5,0.0
bs_6,node_6,14,0,8,0.0,0,5,0.0
bs_6,node_6,15,0,8,0.0,0,5,0.0
bs_6,node_6,16,0,8,0.0,0,5,0.0
bs_6,node_6,17,0,8,0.0,0,5,0.0
bs_6,node_6,18,0,8,0.0,0,5,0.0
bs_6,node_6,19,0,8,0.0,0,5,0.0
bs_7,node_7,0,0,7,0.0,0,5,0.0
bs_7,node_7,1,0,7,0.0,0,5,0.0
bs_7,node_7,2,0,7,0.0,0,5,0.0
bs_7,node_7,3,0,7,0.0,0,5,0.0
bs_7,node_7,4,0,7,0.0,0,5,0.0
bs_7,node_7,5,0,7,0.0,0,5,0.0
bs_7,node_7,6,0,7,0.0,0,5,0.0
bs_7,node_7,7,0,7,0.0,0,5,0.0
bs_7,node_7,8,0,7,0.0,0,5,0.0
bs_7,node_7,9,0,7,0.0,0,5,0.0
bs_7,node_7,10,0,7,0.0,0,5,0.0
bs_7,node_7,11,0,7,0.0,0,5,0.0
bs_7,node_7,12,0,7,0.0,0,5,0.0
bs_7,node_7,13,0,7,0.0,0,5,0.0
bs_7,node_7,14,0,7,0.0,0,5,0.0
bs_7,node_7,15,0,7,0.0,0,5,0.0
bs_7,node_7,16,0,7,0.0,0,5,0.0
bs_7,node_7,17,0,7,0.0,0,5,0.0
bs_7,node_7,18,0,7,0.0,0,5,0.0
bs_7,node_7,19,0,7,0.0,0,5,0.0
bs_8,node_8,0,0,6,0.0,0,4,0.0
bs_8,node_8,1,0,6,0.0,0,4,0.0
bs_8,node_8,2,0,6,0.0,0,4,0.0
bs_8,node_8,3,0,6,0.0,0,4,0.0
bs_8,node_8,4,0,6,0.0,0,4,0.0
bs_8,node_8,5,0,6,0.0,0,4,0.0
bs_8,node_8,6,0,6,0.0,0,4,0.0
bs_8,node_8,7,0,6,0.0,0,4,0.0
