task_index,DIM,PRM,TRAIM,TOCA
1,1207.1480012655575,832.9349346849956,,
2,0.0,0.0,,616.1691871611968
3,377.6300319064717,174.91683152656833,,
4,0.0,0.0,,
5,194.57661741411448,0.0,589.6078412428739,
6,0.0,0.0,,653.0330510262928
7,1091.4617818465972,733.8749032915584,,1167.5222532352097
8,0.0,0.0,205.77648632348163,791.3266307231643
9,0.0,0.0,,511.0266624250627
10,,0.0,,312.01675975233934
