preference_mean,node_count,participants
0.0,10,30.0
0.0,20,60.0
0.1,10,15.0
0.1,20,30.0
0.2,10,10.0
0.2,20,20.0
0.3,10,10.0
0.3,20,20.0
0.4,10,15.0
0.4,20,30.0
0.5,10,10.0
0.5,20,20.0
0.6,10,20.0
0.6,20,40.0
0.7,10,15.0
0.7,20,30.0
0.8,10,25.0
0.8,20,50.0
0.9,10,30.0
0.9,20,60.0
1.0,10,35.0
1.0,20,70.0
