mechanism,total_tasks,mean_completed_tasks,mean_completion_rate,winning_bid_sample_count,winning_bid_mean,winning_bid_median,transaction_price_sample_count,transaction_price_mean,transaction_price_median
DIM,10,7.0,0.7,14,310.3515314444726,72.16141338437728,14,373.51230108249007,152.9054782967766
PRM,10,8.5,0.8500000000000001,17,140.67324610166997,0.0,17,210.55037470982703,0.0
TRAIM,10,2.5,0.25,5,255.6567337695123,168.88196335463817,5,255.6567337695123,168.88196335463817
TOCA,10,8.0,0.8,16,1023.7754014096397,1033.7804538333326,16,19.625,17.0
PC-SPE,10,7.669736862363065,0.7669736862363066,20,0.13471363911301987,0.121041466327591,20,0.16598318163844378,0.1491554824694598
