task_index,DIM,PRM,TRAIM,TOCA
1,636.9202161329795,510.92244509645366,,
2,950.5255572107401,824.5277861742143,,20.0
3,851.7912033099034,863.7888849408109,,14.0
4,1024.7272130216884,863.1758348604014,291.86906227684034,20.0
5,618.3313751946628,492.33360415813695,,
6,881.3950452517631,719.8436670904761,,
7,1059.2699436454468,933.272172608921,,
8,601.5497526117235,475.5519815751976,,5.0
