metric,DIM,PRM,TRAIM,TOCA,PC-SPE
avg_participation_intensity,27.016166666666667,85.89999999999999,23.02033333333333,22.6944125,10.91206658594942
avg_transaction_price_task_level,392.9076858661171,189.54761939004084,249.62606514443235,198.0155626505295,280.2213554484878
avg_user_utility_task50,20895.7612496029,30693.663017079463,21075.886788548945,14984.57662663195,14763.749171624788
