preference_mean,node_count,participants
0.0,10,10.0
0.1,10,20.0
0.2,10,10.0
0.3,10,10.0
0.4,10,10.0
0.5,10,20.0
0.6,10,17.0
0.7,10,19.0
0.8,10,30.0
0.9,10,20.0
1.0,10,40.0
