task_count,DIM_raw,DIM_std_error,DIM,PRM_raw,PRM_std_error,PRM,TRAIM_raw,TRAIM_std_error,TRAIM,TOCA_raw,TOCA_std_error,TOCA
4,2.0,,2.0,4.0,,4.0,0.0,,0.0,1.0,,1.0
8,8.0,,8.0,7.0,,7.0,0.0,,0.0,4.0,,4.0
