task_id,arrival_time,deadline,task_class,bid,accepted,selected_bs,selected_time_slots,payment,operational_cost,dynamic_price,smd_utility,social_welfare_contribution,cpu_demand,subchannel_demand,candidate_count,rejection_reason
task_1,0,5,C,727.957904,False,,,0.0,0.0,0.0,0.0,0.0,1,3,0,no_feasible_scheme
task_2,2,7,C,1336.046862,True,bs_2,2;3,20.0,10.0,10.0,1316.046862,1326.046862,4,2,1,
task_3,4,9,B,914.938952,True,bs_5,4;5,14.0,7.0,7.0,900.938952,907.938952,3,1,1,
task_4,6,11,A,930.309801,True,bs_5,6;7,20.0,10.0,10.0,910.309801,920.309801,4,2,3,
task_5,8,13,C,858.824999,False,,,0.0,0.0,0.0,0.0,0.0,1,3,0,no_feasible_scheme
task_6,10,15,A,931.244391,False,,,0.0,0.0,0.0,0.0,0.0,3,2,0,no_feasible_scheme
task_7,12,17,C,1308.588965,False,,,0.0,0.0,0.0,0.0,0.0,5,1,0,no_feasible_scheme
task_8,14,19,C,935.459418,True,bs_4,14,5.0,2.5,2.5,930.459418,932.959418,1,3,2,
