task_index,DIM,PRM,TRAIM,TOCA
1,535.8397566754945,363.39326150437023,,
2,792.9053071285048,620.4588119573804,,1336.0468620411157
3,851.7912033099034,771.7698175919757,,914.9389523657561
4,1024.7272130216884,654.6542632377248,291.86906227684034,930.3098008730323
5,520.602290975231,348.15579580410656,,
6,881.3950452517631,537.1633988322525,,
7,882.0442084668632,709.5977132957388,,
8,506.84622090336217,334.3997257322378,,935.4594178630718
