task_index,DIM,PRM,TRAIM,TOCA
1,,135.28704889835015,,260.00754621233926
2,,0.0,74.62478925059054,
3,418.12715517344907,0.0,,
4,,,,
5,,0.0,,287.9108790912446
6,,899.2859328449005,,1224.7307872364115
