chi,gamma,raw_k,k,empirical_goal_selection_rate,goal_selection_rate
0.0,1.0,-139.75550611573703,-1.316535740643507,0.050624999999999996,0.33100811123986096
0.1,1.0,-101.54858035888132,-0.9566158727467999,0.0540625,0.33355735805330244
0.2,1.0,-65.51620372112095,-0.6171808624034189,0.0578125,0.3363383545770568
0.3,1.0,-31.83626369385351,-0.29990645926178494,0.06218749999999999,0.33958285052143683
0.4,1.0,0.1148069801285562,0.0010815136864047556,0.06687499999999999,0.3430590961761298
0.5,1.0,30.662912438502236,0.28885316406839484,0.07421875,0.34850521436848203
0.6,1.0,60.00148339606388,0.5652306630203745,0.07765625000000001,0.3510544611819235
0.7,1.0,88.25268607325172,0.8313648503194405,0.08156250000000001,0.35395133256083433
0.8,1.0,115.49234694208242,1.0879700324231443,0.07234375,0.3471147161066049
0.9,1.0,141.7609627972061,1.3354277004012847,0.057343750000000006,0.33599073001158747
1.0,1.0,167.06704021708256,1.5738179885890602,0.03578125,0.32
0.0,1.1,-108.52018206467635,-1.022290299968361,0.064375,0.3412050984936269
0.1,1.1,-70.31325630782064,-0.6623704320716537,0.0678125,0.3437543453070684
0.2,1.1,-34.28087967006025,-0.32293542172827255,0.0709375,0.346071842410197
0.3,1.1,-0.6009396427928166,-0.005661018586638697,0.07703125,0.3505909617612978
0.4,1.1,31.35013103118925,0.295326954361551,0.0840625,0.3558053302433372
0.5,1.1,61.89823648956293,0.5830986047435411,0.09406250000000001,0.3632213209733488
0.6,1.1,91.23680744712458,0.8594761036955207,0.10484374999999999,0.37121668597914254
0.7,1.1,119.48801012431241,1.1256102909945866,0.1203125,0.3826882966396292
0.8,1.1,146.7276709931431,1.3822154730982903,0.12234375,0.38419466975666283
0.9,1.1,172.99628684826678,1.6296731410764307,0.10296875000000001,0.3698261877172654
1.0,1.1,198.30236426814326,1.8680634292642064,0.07171875,0.34665121668597915
0.0,1.2,-75.73322606705652,-0.713428054769766,0.0834375,0.3553418308227115
0.1,1.2,-37.52630031020081,-0.3535081868730589,0.0878125,0.35858632676709157
0.2,1.2,-1.493923672440425,-0.01407317652967773,0.09359375,0.3628736964078795
0.3,1.2,32.186016354827004,0.3032012266119561,0.09890625,0.36681344148319817
0.4,1.2,64.13708702880908,0.6041891995601458,0.10625,0.3722595596755504
0.5,1.2,94.68519248718275,0.8919608499421358,0.12062500000000001,0.38292004634994203
0.6,1.2,124.02376344474439,1.1683383488941155,0.13984375,0.3971726535341831
0.7,1.2,152.27496612193224,1.4344725361931816,0.17015625,0.4196523754345307
0.8,1.2,179.51462699076293,1.6910777182968852,0.19546875,0.4384241019698725
0.9,1.2,205.7832428458866,1.9385353862750256,0.18765625,0.43263035921205095
1.0,1.2,231.0893202657631,2.1769256744628014,0.1496875,0.4044727694090382
0.0,1.3,-40.97899315787774,-0.38603351386566054,0.11203125,0.3765469293163384
