bin_index,bin_label,lower_time_cost,upper_time_cost,DIM_raw,DIM,PRM_raw,PRM,TRAIM_raw,TRAIM,TOCA_raw,TOCA,PC-SPE_raw,PC-SPE
1,201-567,201.431235,567.10063,0.35,0.56,0.74,0.74,0.615,0.52,0.94,0.52,0.755,0.5
2,567-946,567.10063,945.604392,0.795,0.795,0.86,0.86,0.57,0.62,0.985,0.76,0.54,0.56
3,946-1312,945.604392,1312.226507,0.8844221105527639,0.8844221105527639,0.9396984924623115,0.9396984924623115,0.6180904522613065,0.64,0.507537688442211,0.56,0.35175879396984927,0.48
4,1312-1635,1312.226507,1635.455344,0.8,0.8,1.0,0.985,0.535,0.58,0.365,0.44,0.175,0.38
5,1635-1997,1635.455344,1997.414897,0.7611940298507462,0.7611940298507462,1.0,0.985,0.6318407960199005,0.6318407960199005,0.3034825870646766,0.38,0.14925373134328357,0.36
