preference_mean,node_count,goal_participants,total_participants,goal_choice_threshold
0.0,10,0.4,9.833333333333334,0.3877822205487334
0.0,20,0.7333333333333333,19.733333333333334,0.3877822205487334
0.0,30,1.0,29.733333333333334,0.3877822205487334
0.0,40,1.6333333333333333,39.6,0.3877822205487334
0.0,50,1.9333333333333333,49.5,0.3877822205487334
0.0,60,2.3666666666666667,59.266666666666666,0.3877822205487334
0.1,10,0.5666666666666667,9.866666666666667,0.3900802061380659
0.1,20,1.2666666666666666,19.533333333333335,0.3900802061380659
0.1,30,1.9666666666666666,29.3,0.3900802061380659
0.1,40,2.6333333333333333,39.1,0.3900802061380659
0.1,50,3.433333333333333,48.9,0.3900802061380659
0.1,60,3.8,58.766666666666666,0.3900802061380659
0.2,10,1.3333333333333333,9.566666666666666,0.37284001185894483
0.2,20,2.966666666666667,19.2,0.37284001185894483
0.2,30,4.766666666666667,28.766666666666666,0.37284001185894483
0.2,40,6.566666666666666,38.53333333333333,0.37284001185894483
0.2,50,7.9,48.233333333333334,0.37284001185894483
0.2,60,9.766666666666667,57.96666666666667,0.37284001185894483
0.3,10,2.1333333333333333,9.833333333333334,0.3758758120274196
0.3,20,4.7,19.733333333333334,0.3758758120274196
0.3,30,7.166666666666667,29.533333333333335,0.3758758120274196
0.3,40,9.433333333333334,39.4,0.3758758120274196
0.3,50,11.833333333333334,49.03333333333333,0.3758758120274196
0.3,60,14.266666666666667,58.8,0.3758758120274196
0.4,10,4.3,9.933333333333334,0.3779644847149826
0.4,20,8.866666666666667,19.766666666666666,0.3779644847149826
0.4,30,12.766666666666667,29.6,0.3779644847149826
0.4,40,16.6,39.53333333333333,0.3779644847149826
0.4,50,20.9,49.266666666666666,0.3779644847149826
0.4,60,25.266666666666666,59.1,0.3779644847149826
0.5,10,5.666666666666667,9.866666666666667,0.3898597469852473
0.5,20,11.533333333333333,19.666666666666668,0.3898597469852473
0.5,30,17.1,29.466666666666665,0.3898597469852473
0.5,40,22.7,39.333333333333336,0.3898597469852473
0.5,50,28.1,49.2,0.3898597469852473
0.5,60,33.63333333333333,58.96666666666667,0.3898597469852473
0.6,10,6.7,9.966666666666667,0.3705028427984806
0.6,20,13.2,19.933333333333334,0.3705028427984806
0.6,30,19.5,29.866666666666667,0.3705028427984806
0.6,40,26.066666666666666,39.8,0.3705028427984806
0.6,50,32.733333333333334,49.733333333333334,0.3705028427984806
0.6,60,39.06666666666667,59.733333333333334,0.3705028427984806
0.7,10,8.233333333333333,9.966666666666667,0.37523118373748854
0.7,20,16.466666666666665,19.833333333333332,0.37523118373748854
0.7,30,23.766666666666666,29.766666666666666,0.37523118373748854
0.7,40,32.1,39.7,0.37523118373748854
0.7,50,40.43333333333333,49.666666666666664,0.37523118373748854
0.7,60,48.56666666666667,59.666666666666664,0.37523118373748854
0.8,10,8.9,9.966666666666667,0.38474017524954784
0.8,20,17.666666666666668,19.933333333333334,0.38474017524954784
0.8,30,26.433333333333334,29.866666666666667,0.38474017524954784
0.8,40,35.266666666666666,39.833333333333336,0.38474017524954784
0.8,50,44.266666666666666,49.833333333333336,0.38474017524954784
0.8,60,52.96666666666667,59.833333333333336,0.38474017524954784
0.9,10,9.433333333333334,10.0,0.3695609316235692
0.9,20,18.666666666666668,20.0,0.3695609316235692
0.9,30,27.9,30.0,0.3695609316235692
0.9,40,37.233333333333334,40.0,0.3695609316235692
0.9,50,46.63333333333333,50.0,0.3695609316235692
0.9,60,56.03333333333333,60.0,0.3695609316235692
1.0,10,9.533333333333333,10.0,0.37543453966224233
1.0,20,19.133333333333333,20.0,0.37543453966224233
1.0,30,28.6,30.0,0.37543453966224233
1.0,40,38.233333333333334,40.0,0.37543453966224233
1.0,50,47.63333333333333,50.0,0.37543453966224233
1.0,60,57.166666666666664,60.0,0.37543453966224233
