node_count,DIM_raw,DIM_display,DIM,PRM_raw,PRM_display,PRM,TRAIM_raw,TRAIM_display,TRAIM
10,22195.873328274196,221.95873328274195,221.95873328274195,32640.94073187773,326.4094073187773,326.4094073187773,8155.473860028218,81.55473860028218,81.55473860028218
20,26227.478182207222,262.2747818220722,262.2747818220722,35394.12988754408,353.9412988754408,353.9412988754408,14618.49447339571,146.1849447339571,146.1849447339571
30,27879.577288695575,278.7957728869558,278.7957728869558,36227.860669453345,362.27860669453344,362.27860669453344,21119.937772386897,211.19937772386896,211.19937772386896
40,28923.228672248606,289.23228672248604,289.23228672248604,36752.22595172236,367.5222595172236,367.5222595172236,24438.654616889442,244.38654616889443,244.38654616889443
50,29716.22905944699,297.1622905944699,297.1622905944699,37058.92342617377,370.5892342617377,370.5892342617377,28214.332248722203,282.143322487222,282.143322487222
60,30280.599666907397,302.805996669074,302.805996669074,37252.03031461106,372.5203031461106,372.5203031461106,30380.585399820273,303.80585399820274,303.80585399820274
