chi,gamma,raw_k,k,empirical_goal_selection_rate,goal_selection_rate
0.0,1.0,-146.6276425385209,-146.6276425385209,0.096875,0.096875
0.1,1.0,-109.01468540402723,-109.01468540402723,0.10093749999999999,0.10093749999999999
0.2,1.0,-72.83852970363662,-72.83852970363662,0.10500000000000001,0.10500000000000001
0.3,1.0,-39.385815325681904,-39.385815325681904,0.1084375,0.1084375
0.4,1.0,-7.787649660824539,-7.787649660824539,0.11000000000000001,0.11000000000000001
0.5,1.0,22.344470925686092,22.344470925686092,0.113125,0.113125
0.6,1.0,51.23082407134113,51.23082407134113,0.118125,0.118125
0.7,1.0,79.00749134524416,79.00749134524416,0.12250000000000001,0.12250000000000001
0.8,1.0,105.75812716212099,105.75812716212099,0.1190625,0.1190625
0.9,1.0,131.52760237568162,131.52760237568162,0.103125,0.103125
1.0,1.0,156.3263501175091,156.3263501175091,0.0821875,0.0821875
0.0,1.1,-115.47287472081196,-115.47287472081196,0.108125,0.108125
0.1,1.1,-77.85991758631832,-77.85991758631832,0.1134375,0.1134375
0.2,1.1,-41.68376188592771,-41.68376188592771,0.11625,0.11625
0.3,1.1,-8.231047507972999,-8.231047507972999,0.12,0.12
0.4,1.1,23.367118156884366,23.367118156884366,0.12468749999999999,0.12468749999999999
0.5,1.1,53.499238743395,53.499238743395,0.1303125,0.1303125
0.6,1.1,82.38559188905005,82.38559188905005,0.13999999999999999,0.13999999999999999
0.7,1.1,110.16225916295306,110.16225916295306,0.14750000000000002,0.14750000000000002
0.8,1.1,136.9128949798299,136.9128949798299,0.14937499999999998,0.14937499999999998
0.9,1.1,162.6823701933905,162.6823701933905,0.141875,0.141875
1.0,1.1,187.481117935218,187.481117935218,0.11156250000000001,0.11156250000000001
0.0,1.2,-82.7799873249518,-82.7799873249518,0.12437499999999999,0.12437499999999999
0.1,1.2,-45.16703019045816,-45.16703019045816,0.1278125,0.1278125
0.2,1.2,-8.990874490067558,-8.990874490067558,0.1303125,0.1303125
0.3,1.2,24.461839887887155,24.461839887887155,0.13468750000000002,0.13468750000000002
0.4,1.2,56.06000555274452,56.06000555274452,0.140625,0.140625
