node_count,DIM_unique_participants_raw,DIM_participation_intensity_raw,DIM_raw,DIM,PRM_unique_participants_raw,PRM_participation_intensity_raw,PRM_raw,PRM,TRAIM_unique_participants_raw,TRAIM_participation_intensity_raw,TRAIM_raw,TRAIM
10,9.933333333333334,9.933333333333334,9.933333333333334,9.933333333333334,10.0,26.833333333333332,26.833333333333332,26.833333333333332,7.433333333333334,7.433333333333334,7.433333333333334,7.433333333333334
20,19.766666666666666,19.766666666666666,19.766666666666666,19.766666666666666,20.0,52.96666666666667,52.96666666666667,52.96666666666667,14.933333333333334,14.933333333333334,14.933333333333334,14.933333333333334
30,29.4,29.4,29.4,29.4,30.0,81.9,81.9,81.9,22.866666666666667,22.866666666666667,22.866666666666667,22.866666666666667
40,38.6,38.6,38.6,38.6,40.0,108.16666666666667,108.16666666666667,108.16666666666667,29.166666666666668,29.166666666666668,29.166666666666668,29.166666666666668
50,49.8,49.8,49.8,49.8,50.0,136.96666666666667,136.96666666666667,136.96666666666667,36.266666666666666,36.266666666666666,36.266666666666666,36.266666666666666
60,58.4,58.4,58.4,58.4,60.0,159.63333333333333,159.63333333333333,159.63333333333333,44.766666666666666,44.766666666666666,44.766666666666666,44.766666666666666
