node_count,tau_A_raw,tau_B_raw,tau_goal_raw,tau_compete_raw,tau_decoy_raw,tau_A_bid_intensity_raw,tau_B_bid_intensity_raw,tau_goal_bid_intensity_raw,tau_compete_bid_intensity_raw,tau_decoy_influenced_nodes_raw,before_A,before_B,after_goal,after_compete,tau_A,tau_B,tau_goal,tau_compete,tau_decoy
10,0.7666666666666667,2.7,4.4,2.6666666666666665,0.0,9.2,22.533333333333335,58.86666666666667,13.466666666666667,3.5,9.2,22.533333333333335,58.86666666666667,13.466666666666667,9.2,22.533333333333335,58.86666666666667,13.466666666666667,3.5
20,1.9666666666666666,5.466666666666667,8.733333333333333,5.5,0.0,24.5,45.06666666666667,117.43333333333334,27.3,6.533333333333333,24.5,45.06666666666667,117.43333333333334,27.3,24.5,45.06666666666667,117.43333333333334,27.3,6.533333333333333
30,3.0,8.433333333333334,13.0,8.566666666666666,0.0,37.63333333333333,67.53333333333333,174.83333333333334,40.56666666666667,9.566666666666666,37.63333333333333,67.53333333333333,174.83333333333334,40.56666666666667,37.63333333333333,67.53333333333333,174.83333333333334,40.56666666666667,9.566666666666666
40,3.8333333333333335,11.366666666666667,17.166666666666668,11.5,0.0,47.36666666666667,90.4,232.6,54.833333333333336,12.533333333333333,47.36666666666667,90.4,232.6,54.833333333333336,47.36666666666667,90.4,232.6,54.833333333333336,12.533333333333333
50,4.8,14.5,21.7,14.533333333333333,0.0,59.56666666666667,114.86666666666666,293.73333333333335,68.0,15.933333333333334,59.56666666666667,114.86666666666666,293.73333333333335,68.0,59.56666666666667,114.86666666666666,293.73333333333335,68.0,15.933333333333334
60,5.633333333333334,17.733333333333334,25.533333333333335,17.633333333333333,0.0,69.23333333333333,142.63333333333333,348.03333333333336,84.4,18.6,69.23333333333333,142.63333333333333,348.03333333333336,84.4,69.23333333333333,142.63333333333333,348.03333333333336,84.4,18.6
