bin_index,bin_label,lower_time_cost,upper_time_cost,TRAIM_raw,TRAIM,DIM_raw,DIM,PRM_raw,PRM
1,204-546,204.356675,546.198538,0.5133333333333333,0.5133333333333333,0.65,0.65,0.9433333333333334,0.9433333333333334
2,546-893,546.198538,893.173886,0.54,0.54,0.97,0.97,1.0,1.0
3,893-1275,893.173886,1274.782668,0.45484949832775917,0.45484949832775917,0.979933110367893,0.979933110367893,1.0,1.0
4,1275-1643,1274.782668,1642.684762,0.5,0.5,0.9866666666666667,0.9866666666666667,1.0,1.0
5,1643-1999,1642.684762,1999.028621,0.4750830564784053,0.4750830564784053,0.9767441860465116,0.9767441860465116,1.0,1.0
