mechanism,total_tasks,mean_completed_tasks,mean_completion_rate,winning_bid_sample_count,winning_bid_mean,winning_bid_median,transaction_price_sample_count,transaction_price_mean,transaction_price_median
DIM,50,39.5,0.79,794,353.64919962433777,254.39514773495353,794,392.9076858661171,319.2802191040995
PRM,50,45.9,0.9179999999999999,918,172.8831456528473,103.62184077356133,918,189.54761939004084,126.87116397034652
TRAIM,50,30.15,0.603,615,231.58364253800306,220.25474693266648,615,246.67405477681626,233.4866914089414
TOCA,50,31.25,0.625,641,195.09209650702027,163.265061,641,195.09209650702027,163.265061
PC-SPE,50,21.1,0.422,1000,249.37764471050798,202.87001545298486,1000,280.2213554484878,227.81357014073305
