bin_index,bin_label,lower_time_cost,upper_time_cost,DIM_raw,DIM,PRM_raw,PRM,TRAIM_raw,TRAIM,TOCA_raw,TOCA
1,1159-1166,1158.718436,1166.243819,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
2,1166-1403,1166.243819,1402.770232,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,1403-1642,1402.770232,1642.335848,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4,1642-1665,1642.335848,1664.766123,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,1665-1956,1664.766123,1956.195822,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
