node_count,DIM_unique_participants_raw,DIM_participation_intensity_raw,DIM_raw,DIM,PRM_unique_participants_raw,PRM_participation_intensity_raw,PRM_raw,PRM,TRAIM_unique_participants_raw,TRAIM_participation_intensity_raw,TRAIM_raw,TRAIM,TOCA_unique_participants_raw,TOCA_participation_intensity_raw,TOCA_raw,TOCA,PC-SPE_unique_participants_raw,PC-SPE_participation_intensity_raw,PC-SPE_raw,PC-SPE
10,9.5,9.5,9.5,9.5,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0
20,15.5,15.5,15.5,15.5,20.0,30.0,30.0,30.0,5.0,5.0,5.0,5.0,9.5,9.5,9.5,9.5,20.0,20.0,20.0,20.0
